,sketchID,roi_labelName,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
100,gears_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
101,gears_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,symbols_nan,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
102,gears_1.4032-8dfa87ba-2459-483b-a538-b02c05bbdab2,gear_3.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0
103,gears_1.4032-8dfa87ba-2459-483b-a538-b02c05bbdab2,gear_4.0,0.0,13.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0
104,gears_1.4032-8dfa87ba-2459-483b-a538-b02c05bbdab2,symbols_nan,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0
105,gears_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,background_5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
106,gears_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,gear_1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
107,gears_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
108,gears_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
109,gears_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
110,gears_1.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,background_5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
111,gears_1.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,gear_1.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
112,gears_1.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
113,gears_1.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,gear_3.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
114,gears_1.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,gear_4.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
115,gears_1.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,background_5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
116,gears_1.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
117,gears_1.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
118,gears_1.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
119,gears_1.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
120,gears_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,background_5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
121,gears_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
122,gears_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
123,gears_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
124,gears_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
125,gears_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,symbols_nan,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0
126,gears_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8,background_5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
127,gears_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
128,gears_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
129,gears_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8,gear_3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
130,gears_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
131,gears_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
132,gears_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
133,gears_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
134,gears_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
135,gears_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f,symbols_nan,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0
136,gears_1.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,background_5.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0
137,gears_1.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,gear_1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
138,gears_1.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,gear_2.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
139,gears_1.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,gear_3.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
140,gears_1.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,gear_4.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
141,gears_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,background_5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
142,gears_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
143,gears_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,gear_2.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
144,gears_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
145,gears_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
146,gears_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,symbols_nan,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0
147,gears_1.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,gear_1.0,0.0,0.0,13.0,0.0,13.0,0.0,1.0,0.0,0.0
148,gears_1.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,gear_2.0,0.0,0.0,15.0,0.0,15.0,0.0,1.0,0.0,0.0
149,gears_1.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,gear_3.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0
150,gears_1.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,gear_4.0,0.0,11.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
151,gears_1.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,symbols_nan,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
152,gears_1.5854-18de046e-63e2-4225-89ae-e606873818b0,background_5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
153,gears_1.5854-18de046e-63e2-4225-89ae-e606873818b0,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
